Name,Status,Native,population_1996,population_2006,population_2017,population_2023
Ad-Daqahiyah,Governorate,الدقهلية,4223338.0,4989997.0,6492381.0,7050004.0
Ajā,Markaz,مركز أجا,344160.0,401865.0,537240.0,571430.0
Al-Jamāliyah,Markaz,مركز الجمالية,67703.0,83529.0,137454.0,154457.0
Al-Kurdy,Kism fully urban,قسم الكردى,15561.0,25950.0,39248.0,45653.0
Al-Manṣūrah,Markaz,مركز المنصورة,537638.5612903226,450700.0,620328.0,654688.0
Al-Manṣūrah 1,Kism fully urban,قسم اول المنصورة,207251.0,244665.0,310350.0,361019.0
Al-Manṣūrah 2,Kism fully urban,قسم ثان المنصورة,162158.0,194683.0,233231.0,271311.0
Al-Manzilah,Markaz,مركز المنزلة,218533.0,260888.0,359249.0,391159.0
Al-Maṭariyah,Markaz,مركز المطرية,105260.0,125770.0,177577.0,202672.0
As-Sinbillāwayn,Markaz,مركز السنبلاوين,368776.0,450103.0,565808.0,608836.0
Banī Ubayd,Markaz,مركز بنى عبيد,537638.5612903226,102016.0,130983.0,142580.0
Bilqās,Markaz,مركز بلقاس,365464.0,424189.0,529442.0,571698.0
Dikirnis,Markaz,مركز دكرنس,537638.5612903226,279714.0,352590.0,381651.0
Jamaṣah,Kism fully urban,قسم جمصة,537638.5612903226,2074.0,3890.0,4525.0
Maḥallat Damanah,Markaz,مركز محلة دمنة,537638.5612903226,46116.0,61534.0,67954.0
Minyat an-Naṣr,Markaz,مركز منية النصر,185273.0,204502.0,266465.0,288996.0
Mīt Ghamr,Kism fully urban,قسم ميت غمر,101899.0,116593.0,134386.0,156319.0
Mīt Ghamr,Markaz,مركز ميت غمر,428509.0,517209.0,662184.0,698863.0
Mīt Salsīl,Markaz,مركز ميت سلسيل,52395.0,56129.0,73001.0,81590.0
Nabarūh,Markaz,مركز نبروة,537638.5612903226,219048.0,282180.0,303387.0
Shirbīn,Markaz,مركز شربين,286526.0,336413.0,426653.0,457458.0
Ṭalkhā,Markaz,مركز طلخا,537638.5612903226,306195.0,391015.0,423319.0
Timay al-Imdīd,Markaz,مركز تمى الأمديد,120804.0,141646.0,197573.0,210439.0
Al-Baḥr al-Aḥmar,Governorate,البحر الأحمر,157314.0,288661.0,359888.0,403077.0
Al-Ghurdaqah 1,Kism fully urban,قسم أول الغردقة,537638.5612903226,69616.0,75239.0,84534.0
Al-Ghurdaqah 2,Kism fully urban,قسم ثان الغردقة,537638.5612903226,91285.0,115393.0,129713.0
Al-Quṣayr,Kism urban and rural parts,قسم القصير,27618.0,35920.0,47817.0,53637.0
Ash-Shalātīn,Kism urban and rural parts,قسم الشلاتين,9417.0,15210.0,12433.0,13860.0
Ḥalāyib,Kism fully rural,قسم حلايب,1665.0,2268.0,7920.0,8339.0
Marsā 'Alam,Kism urban and rural parts,قسم مرسى علم,3382.0,6614.0,8553.0,9190.0
Ras Ghārib,Kism urban and rural parts,قسم رأس غارب,28435.0,32369.0,41526.0,46654.0
Safājā,Kism urban and rural parts,قسم سفاجا,26712.0,35379.0,51007.0,57150.0
Al-Buḥayrah,Governorate,البحيرة,3994297.0,4747283.0,6171613.0,6878289.0
Abū al-Maṭāmīr,Markaz,مركز ابو المطامير,291240.0,394746.0,553366.0,607910.0
Abū Ḥummuṣ,Markaz,مركز ابوحمص,348920.0,409999.0,533817.0,585936.0
Ad-Dilinjāt,Markaz,مركز الدلنجات,255997.0,304861.0,398889.0,441431.0
